Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Ildemaro Vargas,o0.5 Hits,0,ARI,MIL,0,0,0,0,0,0,Available,1,8,0.7333333333333333,32
Ildemaro Vargas,o0.5 Hits + Runs + RBIs,0,ARI,MIL,0,0,0,0,0,0,Available,1,8,0.7333333333333333,32
Connelly Early,o3.5 Strikeouts,0,BOS,TOR,0,0,0,0,0,0,Available,1,21,0.3,32
Mike Trout,o0.5 Hits + Runs + RBIs,0,LAA,CHW,0,0,0,0,0,0,Available,1,14,0.5333333333333333,32
Ozzie Albies,o0.5 Hits,0,ATL,DET,0,0,0,0,0,0,Available,1,26,0.13333333333333333,32
Josh Jung,o0.5 Hits,0,TEX,NYY,0,0,0,0,0,0,Available,1,3,0.9,32
Daylen Lile,o0.5 Hits + Runs + RBIs,0,WSH,NYM,0,0,0,0,0,0,Available,1,22,0.26666666666666666,32
Sean Burke,o2.5 Strikeouts,0,CWS,,0,0,0,0,0,0,Available,1,15,0.5,32
Adley Rutschman,o0.5 Hits + Runs + RBIs,0,BAL,HOU,0,0,0,0,0,0,Available,1,1,0.9666666666666667,32
Ivan Herrera,o0.5 Hits + Runs + RBIs,0,STL,PIT,0,0,0,0,0,0,Available,1,30,0,32
Ivan Herrera,o0.5 Hits,0,STL,PIT,0,0,0,0,0,0,Available,1,30,0,32
Bobby Witt Jr.,o0.5 Hits,0,KC,ATH,0,0,0,0,0,0,Available,1,15,0.5,32
Bobby Witt Jr.,o0.5 Hits + Runs + RBIs,0,KC,ATH,0,0,0,0,0,0,Available,1,15,0.5,32
Riley Greene,o0.5 Hits + Runs + RBIs,0,DET,ATL,0,0,0,0,0,0,Available,1,6,0.8,32
Troy Johnston,o0.5 Hits + Runs + RBIs,0,COL,CIN,0,0,0,0,0,0,Available,1,23,0.23333333333333334,32
Liam Hicks,o0.5 Hits + Runs + RBIs,0,MIA,LAD,0,0,0,0,0,0,Available,1,2,0.9333333333333333,32
Troy Johnston,o0.5 Hits,0,COL,CIN,0,0,0,0,0,0,Available,1,23,0.23333333333333334,32
Yainer Diaz,o0.5 Hits,0,HOU,BAL,0,0,0,0,0,0,Available,1,11,0.6333333333333333,32
Yainer Diaz,o0.5 Hits + Runs + RBIs,0,HOU,BAL,0,0,0,0,0,0,Available,1,11,0.6333333333333333,32
Miguel Andujar,o0.5 Hits,0,SD,CHC,0,0,0,0,0,0,Available,1,27,0.1,32
Miguel Andujar,o0.5 Hits + Runs + RBIs,0,SD,CHC,0,0,0,0,0,0,Available,1,27,0.1,32
Nick Gonzales,o0.5 Hits,0,PIT,STL,0,0,0,0,0,0,Available,1,18,0.4,32
Chase DeLauter,o0.5 Hits + Runs + RBIs,0,CLE,TB,0,0,0,0,0,0,Available,1,12,0.6,32
Carlos Cortes,o0.5 Hits + Runs + RBIs,0,ATH,KC,0,0,0,0,0,0,Available,1,28,0.06666666666666667,32
Mike Trout,o0.5 Hits,0,LAA,CHW,0,0,0,0,0,0,Available,1,14,0.5333333333333333,32
Jacob Wilson,o0.5 Singles,0,ATH,KC,0,0,0,0,0,0,Available,1,15,0.5,32
Colson Montgomery,o0.5 Hits + Runs + RBIs,0,CWS,,0,0,0,0,0,0,Available,1,15,0.5,32
Miguel Vargas,o0.5 Hits + Runs + RBIs,0,CWS,,0,0,0,0,0,0,Available,1,15,0.5,32
Marcelo Mayer,o0.5 Hits + Runs + RBIs,0,BOS,TOR,0,0,0,0,0,0,Available,1,21,0.3,32
Adolis Garcia,o0.5 Hits + Runs + RBIs,0,PHI,SF,0,0,0,0,0,0,Available,1,9,0.7,32
Josh Jung,o1.5 Hits + Runs + RBIs,0,TEX,NYY,0,0,0,0,0,0,Available,1,3,0.9,32
Adolis Garcia,o0.5 Hits,0,PHI,SF,0,0,0,0,0,0,Available,1,9,0.7,32
Miguel Vargas,o0.5 Hits,0,CWS,,0,0,0,0,0,0,Available,1,15,0.5,32
Marcelo Mayer,o0.5 Hits,0,BOS,TOR,0,0,0,0,0,0,Available,1,21,0.3,32
Elly De La Cruz,o0.5 Hits + Runs + RBIs,0,CIN,COL,0,0,0,0,0,0,Available,1,17,0.43333333333333335,32
Juan Soto,o0.5 Hits,0,NYM,WSH,0,0,0,0,0,0,Available,1,29,0.03333333333333333,32
Matt Olson,o0.5 Hits,0,ATL,DET,0,0,0,0,0,0,Available,1,26,0.13333333333333333,32
Otto Lopez,o0.5 Hits,0,MIA,LAD,0,0,0,0,0,0,Available,1,2,0.9333333333333333,32
Jordan Walker,o0.5 Hits + Runs + RBIs,0,STL,PIT,0,0,0,0,0,0,Available,1,30,0,32
