Name,Prop,Line,Team,Opponent,Per_Min_L5,Per_Min_Avg,Variance,Confidence%,Matchup Scalar,Samples
Elmer Rodríguez,u3.5 Strikeouts,,NYY,,3.00,3.00,0.45,5.0,1.00,5
Chris Bassitt,u4.5 Strikeouts,,BAL,,2.80,3.50,0.45,5.0,0.91,5
Framber Valdez,u5.5 Strikeouts,,DET,,4.40,4.80,0.45,5.0,0.96,5
Andrew Abbott,u4.5 Strikeouts,,CIN,,3.00,3.70,0.45,5.0,0.91,5
Jameson Taillon,u4.5 Strikeouts,,CHC,,5.60,5.00,0.45,5.0,1.06,5
Eduardo Rodriguez,u4.5 Strikeouts,,ARI,,3.40,4.10,0.45,5.0,0.92,5
Kevin Gausman,u5.5 Strikeouts,,TOR,,3.80,5.40,0.45,5.0,0.86,5
Sandy Alcantara,u5.5 Strikeouts,,MIA,,3.80,5.00,0.45,5.0,0.89,5
Brandon Sproat,u4.5 Strikeouts,,MIL,,4.40,4.20,0.45,5.0,1.02,5
Freddy Peralta,u6.5 Strikeouts,,NYM,,5.60,6.10,0.45,5.0,0.96,5
George Kirby,u5.5 Strikeouts,,SEA,,4.40,4.70,0.45,5.0,0.97,5
Andre Pallante,u3.5 Strikeouts,,STL,,4.60,3.60,0.45,5.0,1.13,5
Bubba Chandler,u4.5 Strikeouts,,PIT,,4.20,4.90,0.45,5.0,0.93,5
Michael Lorenzen,u3.5 Strikeouts,,COL,,2.80,3.70,0.45,5.0,0.89,5
Jacob deGrom,u6.5 Strikeouts,,TEX,,6.60,6.40,0.45,5.0,1.02,5
Cade Cavalli,u4.5 Strikeouts,,WSH,,6.00,4.90,0.45,5.0,1.11,5
Taj Bradley,u5.5 Strikeouts,,MIN,,6.40,6.20,0.45,5.0,1.02,5
Shohei Ohtani,u6.5 Strikeouts,,LAD,,0.75,0.90,0.45,5.0,0.94,1
Drew Rasmussen,u4.5 Strikeouts,,TB,,6.00,4.40,0.45,5.0,1.17,5
Luis Severino,u4.5 Strikeouts,,ATH,,6.00,5.00,0.45,5.0,1.10,5
Cristopher Sanchez,u6.5 Strikeouts,,PHI,,6.60,7.10,0.45,5.0,0.97,5
Gavin Williams,u5.5 Strikeouts,,CLE,,7.20,8.20,0.45,5.0,0.94,5
Bryce Elder,u4.5 Strikeouts,,ATL,,4.60,5.60,0.45,5.0,0.91,5
