Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Logan Stankoven,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jack Eichel,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Taylor Hall,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Mark Stone,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Cutter Gauthier,o0.5 Points,0,ANA,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Mitch Marner,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jackson LaCombe,o0.5 Points,0,ANA,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Ivan Barbashev,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jackson Blake,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Mason McTavish,o0.5 Points,0,ANA,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Taylor Hall,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
Logan Stankoven,o0.5 Goals,0,CAR,PHI,0.0003,0.0003,0.0003,0,5,1,Available,1,15,0.53125,106667
Leo Carlsson,o0.5 Points,0,ANA,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jack Eichel,o0.5 Assists,0,VGK,UTA,0.0004,0.0004,0.0004,0,5,1,Available,1,29,0.09375,80000
Jackson LaCombe,o0.5 Assists,0,ANA,,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.5,80000
Mitch Marner,o0.5 Assists,0,VGK,UTA,0.0004,0.0004,0.0004,0,5,1,Available,1,29,0.09375,80000
Jackson Blake,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
Sebastian Aho,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Troy Terry,o0.5 Points,0,ANA,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Travis Konecny,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Nikolaj Ehlers,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
John Carlson,o0.5 Points,0,ANA,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Andrei Svechnikov,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Mikael Granlund,o0.5 Points,0,ANA,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Cutter Gauthier,o0.5 Goals,0,ANA,,0.0003,0.0003,0.0003,0,5,1,Available,1,15,0.5,106667
Ivan Barbashev,o0.5 Assists,0,VGK,UTA,0.0004,0.0004,0.0004,0,5,1,Available,1,29,0.09375,80000
Mason McTavish,o0.5 Assists,0,ANA,,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.5,80000
Trevor Zegras,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Pavel Dorofeyev,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Troy Terry,o0.5 Assists,0,ANA,,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.5,80000
John Carlson,o0.5 Assists,0,ANA,,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.5,80000
Chris Kreider,o0.5 Points,0,ANA,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Travis Konecny,o0.5 Assists,0,PHI,CAR,0.0004,0.0004,0.0004,0,5,1,Available,1,2,0.9375,80000
Nikolaj Ehlers,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
Leo Carlsson,o0.5 Assists,0,ANA,,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.5,80000
Jack Eichel,o1.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Mark Stone,o0.5 Goals,0,VGK,UTA,0.0003,0.0003,0.0003,0,5,1,Available,1,29,0.09375,106667
Leo Carlsson,o0.5 Goals,0,ANA,,0.0003,0.0003,0.0003,0,5,1,Available,1,15,0.5,106667
Mark Stone,o0.5 Powerplay Points,0,VGK,UTA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jack Eichel,o0.5 Powerplay Points,0,VGK,UTA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Mikael Granlund,o0.5 Assists,0,ANA,,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.5,80000
Chris Kreider,o0.5 Assists,0,ANA,,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.5,80000
Taylor Hall,o0.5 Goals,0,CAR,PHI,0.0003,0.0003,0.0003,0,5,1,Available,1,15,0.53125,106667
Jackson LaCombe,o0.5 Powerplay Points,0,ANA,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jack Eichel,o1.5 Assists,0,VGK,UTA,0.0004,0.0004,0.0004,0,5,1,Available,1,29,0.09375,80000
Mikael Granlund,o0.5 Powerplay Points,0,ANA,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Alex Killorn,o0.5 Goals,0,ANA,,0.0003,0.0003,0.0003,0,5,1,Available,1,15,0.5,106667
Seth Jarvis,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Shea Theodore,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Mark Stone,o0.5 Assists,0,VGK,UTA,0.0004,0.0004,0.0004,0,5,1,Available,1,29,0.09375,80000
Trevor Zegras,o0.5 Assists,0,PHI,CAR,0.0004,0.0004,0.0004,0,5,1,Available,1,2,0.9375,80000
Jordan Staal,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Travis Sanheim,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Seth Jarvis,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
Pavel Dorofeyev,o0.5 Goals,0,VGK,UTA,0.0003,0.0003,0.0003,0,5,1,Available,1,29,0.09375,106667
Cutter Gauthier,o0.5 Assists,0,ANA,,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.5,80000
Sebastian Aho,o0.5 Goals,0,CAR,PHI,0.0003,0.0003,0.0003,0,5,1,Available,1,15,0.53125,106667
