Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Ozzie Albies,o0.5 Hits + Runs + RBIs,0,ATL,COL,0,0,0,0,0,0,Available,1,17,0.43333333333333335,32
Mickey Moniak,o0.5 Hits,0,COL,ATL,0,0,0,0,0,0,Available,1,6,0.8,32
Ozzie Albies,o0.5 Hits,0,ATL,COL,0,0,0,0,0,0,Available,1,17,0.43333333333333335,32
Matt Olson,o0.5 Hits + Runs + RBIs,0,ATL,COL,0,0,0,0,0,0,Available,1,17,0.43333333333333335,32
Matt Olson,o0.5 Hits,0,ATL,COL,0,0,0,0,0,0,Available,1,17,0.43333333333333335,32
Otto Lopez,o0.5 Hits,0,MIA,PHI,0,0,0,0,0,0,Available,1,7,0.7666666666666667,32
Kyle Tucker,o0.5 Hits + Runs + RBIs,0,LAD,STL,0,0,0,0,0,0,Available,1,18,0.4,32
Jorge Soler,o0.5 Hits + Runs + RBIs,0,LAA,NYM,0,0,0,0,0,0,Available,1,22,0.26666666666666666,32
Janson Junk,o2.5 Strikeouts,0,MIA,PHI,0,0,0,0,0,0,Available,1,7,0.7666666666666667,32
Bobby Witt Jr.,o0.5 Hits,0,KC,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Riley Greene,o0.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Brandon Marsh,o0.5 Hits,0,PHI,MIA,0,0,0,0,0,0,Available,1,20,0.3333333333333333,32
Brandon Marsh,o0.5 Hits + Runs + RBIs,0,PHI,MIA,0,0,0,0,0,0,Available,1,20,0.3333333333333333,32
Andy Pages,o0.5 Hits + Runs + RBIs,0,LAD,STL,0,0,0,0,0,0,Available,1,18,0.4,32
Liam Hicks,o0.5 Hits + Runs + RBIs,0,MIA,PHI,0,0,0,0,0,0,Available,1,7,0.7666666666666667,32
