Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Bruce Brown,o6.5 Points + Rebounds,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Sam Hauser,o4.5 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Neemias Queta,o1.5 Q1 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Joel Embiid,o29.5 Points + Rebounds,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Bruce Brown,o4.5 Points,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
VJ Edgecombe,o0.5 Steals,0,PHI,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Karl-Anthony Towns,o15.5 Points,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Joel Embiid,o34.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Joel Embiid,o35.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Joel Embiid,o31.5 Points + Rebounds,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Karl-Anthony Towns,o19.5 Points + Assists,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Jayson Tatum,o26.5 Points + Assists,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Nikola Vucevic,o4.5 Rebounds + Assists,0,BOS,PHI,0.2,0.2,0.2,0,5,1,Available,1,27,0.1,160
Payton Pritchard,o5.5 Rebounds + Assists,0,BOS,PHI,0.2,0.2,0.2,0,5,1,Available,1,27,0.1,160
VJ Edgecombe,o8.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Jalen Johnson,o3.5 Q1 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Nickeil Alexander-Walker,o13.5 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Payton Pritchard,o12.5 Points + Rebounds,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Payton Pritchard,o16.5 Pts + Reb + Ast,0,BOS,PHI,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
VJ Edgecombe,o12.5 Points + Assists,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Dyson Daniels,o11.5 Points + Assists,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
VJ Edgecombe,o14.5 Points + Rebounds,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Dyson Daniels,o18.5 Pts + Reb + Ast,0,ATL,NY,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Payton Pritchard,o9.5 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
VJ Edgecombe,o17.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Karl-Anthony Towns,o0.5 Three Pointers,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Payton Pritchard,o13.5 Points + Assists,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
VJ Edgecombe,o18.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Joel Embiid,o0.5 Blocks,0,PHI,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Joel Embiid,o21.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Dyson Daniels,o19.5 Pts + Reb + Ast,0,ATL,NY,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Payton Pritchard,o18.5 Pts + Reb + Ast,0,BOS,PHI,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Payton Pritchard,o14.5 Points + Assists,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Jayson Tatum,o0.5 Steals,0,BOS,PHI,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Payton Pritchard,o10.5 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Kelly Oubre Jr.,o3.5 Rebounds,0,PHI,BOS,0.2,0.2,0.2,0,5,1,Available,1,1,0.9666666666666667,160
OG Anunoby,o12.5 Points,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Karl-Anthony Towns,o27.5 Points + Rebounds,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Payton Pritchard,o11.5 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Karl-Anthony Towns,o31.5 Pts + Reb + Ast,0,NYK,,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Joel Embiid,o27.5 Points + Assists,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Joel Embiid,o23.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Joel Embiid,o22.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Bruce Brown,o5.5 Points,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Dyson Daniels,o20.5 Pts + Reb + Ast,0,ATL,NY,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Christian Braun,o7.5 Points,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
OG Anunoby,o1.5 Three Pointers,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Joel Embiid,o24.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Jayson Tatum,o29.5 Points + Rebounds,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Jaylen Brown,o0.5 Steals,0,BOS,PHI,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Joel Embiid,o25.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Nickeil Alexander-Walker,o2.5 Three Pointers,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
CJ McCollum,o3.5 Q1 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Karl-Anthony Towns,o2.5 Assists,0,NYK,,0.16,0.16,0.16,0,5,1,Available,1,15,0.5,200
Nikola Vucevic,o3.5 Rebounds,0,BOS,PHI,0.2,0.2,0.2,0,5,1,Available,1,27,0.1,160
Derrick White,o2.5 Assists,0,BOS,PHI,0.16,0.16,0.16,0,5,1,Available,1,27,0.1,200
Nickeil Alexander-Walker,o19.5 Pts + Reb + Ast,0,ATL,NY,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
VJ Edgecombe,o1.5 Q1 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Mikal Bridges,o1.5 Q1 Points,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Jaylen Brown,o26.5 Points + Assists,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Tyrese Maxey,o27.5 Points + Assists,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Jalen Johnson,o24.5 Points + Rebounds,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Onyeka Okongwu,o9.5 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Payton Pritchard,o6.5 Rebounds + Assists,0,BOS,PHI,0.2,0.2,0.2,0,5,1,Available,1,27,0.1,160
Tim Hardaway Jr.,o6.5 Points,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Dyson Daniels,o13.5 Points + Rebounds,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Onyeka Okongwu,o16.5 Points + Rebounds,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Jalen Johnson,o16.5 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Nickeil Alexander-Walker,o14.5 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Payton Pritchard,o2.5 Rebounds,0,BOS,PHI,0.2,0.2,0.2,0,5,1,Available,1,27,0.1,160
VJ Edgecombe,o9.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Dyson Daniels,o12.5 Points + Assists,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Kelly Oubre Jr.,o11.5 Points + Rebounds,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Aaron Gordon,o0.5 Three Pointers,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Bruce Brown,o8.5 Pts + Reb + Ast,0,DEN,MIN,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Dyson Daniels,o14.5 Points + Rebounds,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Jalen Johnson,o7.5 Rebounds,0,ATL,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Dyson Daniels,o3.5 Assists,0,ATL,NY,0.16,0.16,0.16,0,5,1,Available,1,15,0.5,200
Derrick White,o1.5 Q1 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
VJ Edgecombe,o19.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
