Name,Prop,Line,Team,Opponent,Per_Min_L5,Per_Min_Avg,Variance,Confidence%,Matchup Scalar,Samples
Shai Gilgeous-Alexander,u2.5 Three Pointers,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Austin Reaves,u26.5 Points,,LAL,,18.00,20.90,4.20,5.0,0.94,5
Isaiah Hartenstein,u3.5 Assists,,OKC,,1.80,2.00,1.90,5.0,0.97,5
Ajay Mitchell,u19.5 Points,,OKC,,13.40,11.50,4.20,5.0,1.07,5
Ajay Mitchell,u18.5 Points,,OKC,,13.40,11.50,4.20,5.0,1.07,5
Cason Wallace,u2.5 Three Pointers,,OKC,,1.00,1.30,2.00,5.0,0.97,5
Ajay Mitchell,u17.5 Points,,OKC,,13.40,11.50,4.20,5.0,1.07,5
Ajay Mitchell,u25.5 Pts + Reb + Ast,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Austin Reaves,u3.5 Three Pointers,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Ajay Mitchell,u20.5 Points + Assists,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Shai Gilgeous-Alexander,u5.5 Rebounds,,OKC,,1.40,1.50,2.10,5.0,0.99,5
Ajay Mitchell,u24.5 Pts + Reb + Ast,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Ajay Mitchell,u16.5 Points,,OKC,,13.40,11.50,4.20,5.0,1.07,5
Luguentz Dort,u4.5 Rebounds,,OKC,,2.20,2.10,2.10,5.0,1.01,5
Ajay Mitchell,u19.5 Points + Assists,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Austin Reaves,u2.5 Three Pointers,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Isaiah Hartenstein,u10.5 Points,,OKC,,1.80,2.00,4.20,5.0,1.00,5
Jaxson Hayes,u4.5 Rebounds,,LAL,,3.00,3.10,2.10,5.0,0.99,5
Ajay Mitchell,u15.5 Points,,OKC,,13.40,11.50,4.20,5.0,1.07,5
Ajay Mitchell,u2.5 Three Pointers,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Rui Hachimura,u3.5 Three Pointers,,LAL,,3.00,2.50,2.00,5.0,1.06,5
LeBron James,u2.5 Three Pointers,,LAL,,1.60,1.50,2.00,5.0,1.01,5
Shai Gilgeous-Alexander,u8.5 Assists,,OKC,,1.40,1.50,1.90,5.0,0.99,5
Alex Caruso,u10.5 Points,,OKC,,7.60,6.40,4.20,5.0,1.06,5
Alex Caruso,u9.5 Points,,OKC,,7.60,6.40,4.20,5.0,1.06,5
LeBron James,u8.5 Rebounds,,LAL,,1.60,1.50,2.10,5.0,1.01,5
Alex Caruso,u8.5 Points,,OKC,,7.60,6.40,4.20,5.0,1.06,5
Alex Caruso,u11.5 Points + Rebounds,,OKC,,7.60,6.40,2.00,5.0,1.08,5
Chet Holmgren,u10.5 Rebounds,,OKC,,9.60,8.70,2.10,5.0,1.05,5
Luke Kennard,u2.5 Three Pointers,,LAL,,1.00,1.30,2.00,5.0,0.97,5
Marcus Smart,u2.5 Three Pointers,,LAL,,2.40,1.50,2.00,5.0,1.10,5
Shai Gilgeous-Alexander,u12.5 Rebounds + Assists,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Ajay Mitchell,u23.5 Pts + Reb + Ast,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Ajay Mitchell,u20.5 Points + Rebounds,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Cason Wallace,u9.5 Points,,OKC,,1.00,1.30,4.20,5.0,1.00,5
Ajay Mitchell,u19.5 Points + Rebounds,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Alex Caruso,u7.5 Points,,OKC,,7.60,6.40,4.20,5.0,1.06,5
Austin Reaves,u25.5 Points,,LAL,,18.00,20.90,4.20,5.0,0.94,5
Luguentz Dort,u9.5 Points,,OKC,,2.20,2.10,4.20,5.0,1.00,5
Austin Reaves,u6.5 Assists,,LAL,,18.00,20.90,1.90,5.0,0.93,5
Ajay Mitchell,u18.5 Points + Assists,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Shai Gilgeous-Alexander,u1.5 Steals,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Chet Holmgren,u29.5 Pts + Reb + Ast,,OKC,,9.60,8.70,2.00,5.0,1.05,5
Ajay Mitchell,u14.5 Points,,OKC,,13.40,11.50,4.20,5.0,1.07,5
Austin Reaves,u27.5 Points + Rebounds,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Austin Reaves,u26.5 Points + Rebounds,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Isaiah Hartenstein,u21.5 Pts + Reb + Ast,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Ajay Mitchell,u17.5 Points + Assists,,OKC,,13.40,11.50,2.00,5.0,1.08,5
Isaiah Hartenstein,u11.5 Points + Assists,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Luguentz Dort,u3.5 Rebounds,,OKC,,2.20,2.10,2.10,5.0,1.01,5
Chet Holmgren,u2.5 Three Pointers,,OKC,,9.60,8.70,2.00,5.0,1.05,5
Alex Caruso,u4.5 Rebounds,,OKC,,7.60,6.40,2.10,5.0,1.08,5
Marcus Smart,u13.5 Points,,LAL,,2.40,1.50,4.20,5.0,1.00,5
Shai Gilgeous-Alexander,u36.5 Points,,OKC,,1.40,1.50,4.20,5.0,1.00,5
Rui Hachimura,u15.5 Points,,LAL,,3.00,2.50,4.20,5.0,1.02,5
Shai Gilgeous-Alexander,u35.5 Points,,OKC,,1.40,1.50,4.20,5.0,1.00,5
Shai Gilgeous-Alexander,u41.5 Points + Assists,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Austin Reaves,u5.5 Rebounds,,LAL,,18.00,20.90,2.10,5.0,0.93,5
Ajay Mitchell,u4.5 Rebounds,,OKC,,13.40,11.50,2.10,5.0,1.08,5
Chet Holmgren,u20.5 Points,,OKC,,9.60,8.70,4.20,5.0,1.04,5
Shai Gilgeous-Alexander,u34.5 Points,,OKC,,1.40,1.50,4.20,5.0,1.00,5
Alex Caruso,u10.5 Points + Rebounds,,OKC,,7.60,6.40,2.00,5.0,1.08,5
Shai Gilgeous-Alexander,u45.5 Pts + Reb + Ast,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Shai Gilgeous-Alexander,u33.5 Points,,OKC,,1.40,1.50,4.20,5.0,1.00,5
Shai Gilgeous-Alexander,u40.5 Points + Assists,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Shai Gilgeous-Alexander,u9.5 Q1 Points,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Chet Holmgren,u19.5 Points,,OKC,,9.60,8.70,4.20,5.0,1.04,5
Austin Reaves,u5.5 Q1 Points,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Shai Gilgeous-Alexander,u44.5 Pts + Reb + Ast,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Shai Gilgeous-Alexander,u39.5 Points + Assists,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Chet Holmgren,u9.5 Rebounds,,OKC,,9.60,8.70,2.10,5.0,1.05,5
